Reporter Name,Partner Name,Trade Flow,Product Group,Indicator,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Netherlands,Bulgaria,Export,Food Products,Export (US$ Thousand),4921.619,11829.473,9551.405,15869.857,12508.196,12369.126,13089.744,11008.303,9658.95,15101.47,30033.082,47963.561,53307.168,29974.876,43081.209,45697.227,71412.633,65052.253,52415.933,65994.795,56739.108,73708.377
Netherlands,Bunkers,Export,Food Products,Export (US$ Thousand),,,,,86.549,,412.56,,,,1243.348,1919.356,2495.663,12531.195,25140.651,21779.871,3576.377,1494.349,6745.633,10935.73,19220.254,21900.91
Netherlands,Burkina Faso,Export,Food Products,Export (US$ Thousand),201.955,176.758,105.974,156.651,153.25,102.56,245.416,93.759,185.024,762.284,1009.984,1143.471,1377.219,1925.199,4099.443,932.149,1025.612,1243.197,932.399,2935.966,3378.779,5553.386
Netherlands,Burundi,Export,Food Products,Export (US$ Thousand),43.278,15.427,121.754,32.503,30.932,76.919,62.112,14.983,84.687,22.394,37.791,71.254,945.516,481.3,404.542,163.366,340.397,365.565,140.59,226.21,153.608,184.021
Netherlands,Cambodia,Export,Food Products,Export (US$ Thousand),29.716,57.53,37.577,119.889,184.895,39.998,,8.216,66.277,8.062,34.013,67.862,158.001,110.686,179.656,442.05,565.854,760.43,1466.903,2401.177,2917.268,3783.591
Netherlands,Cameroon,Export,Food Products,Export (US$ Thousand),5307.367,6320.978,2657.054,2275.164,2288.127,4740.463,5029.149,3373.146,4401.896,4843.327,5328.632,6121.129,7791.794,6993.142,8183.81,7864.914,8557.08,10126.96,10518.997,15500.33,14675.014,16929.972
Netherlands,Canada,Export,Food Products,Export (US$ Thousand),42130.7,34435.669,34742.206,33155.672,38300.739,44298.631,44606.474,50443.182,56544.39,59248.568,77383.278,84096.557,92949.151,98345.502,111884.756,137660.029,151870.099,122521.147,142504.489,151803.606,146237.927,150298.614
Netherlands,Cape Verde,Export,Food Products,Export (US$ Thousand),2153.325,2155.511,2305.814,3647.365,1897.185,1758.42,2215.847,3115.511,1795.001,1830.021,2621.8,4041.168,4048.299,3901.384,5451.266,7450.323,9237.873,8442.854,6882.244,7372.374,6627.308,6729.579
Netherlands,Cayman Islands,Export,Food Products,Export (US$ Thousand),1420.059,1151.252,1374.093,1613.9,3144.66,2922.028,1871.984,1840.518,1517.927,1795.086,1818.726,2518.802,2620.073,2622.895,2674.751,2531.49,2655.391,2610.573,2157.913,2093.81,1673.326,1665.178
Netherlands,Central African Republic,Export,Food Products,Export (US$ Thousand),161.997,144.972,234.469,228.513,619.741,549.737,1358.897,685.831,40.502,43.892,50.075,59.945,90.819,50.99,110.559,74.133,30.945,354.401,344.843,133.541,51.793,232.979
Netherlands,Chad,Export,Food Products,Export (US$ Thousand),28.719,,,123.05,519.265,62.558,235.322,44.465,81.006,181.838,194.627,197.929,262.506,220.129,195.989,709.751,5210.579,2886.84,3031.954,3032.968,3184.115,8173.589
